,Fiscal Year,Category,Type,Scope,Description,Emissions
0,2022,Corporate emissions,Gross emissions,Scope 1,"Natural gas, diesel, propane",39700.0
1,2022,Corporate emissions,Gross emissions,Scope 1,Fleet vehicles,12600.0
2,2022,Corporate emissions,Gross emissions,Scope 1,Other (R&D processes & refrigerant leaks),2900.0
3,2022,Corporate emissions,Gross emissions,Scope 2 (market-based),Electricity,0.0
4,2022,Corporate emissions,Gross emissions,Scope 2 (market-based),"Steam, heating, and cooling",3000.0
5,2022,Corporate emissions,Gross emissions,Scope 3,Business travel,113500.0
6,2022,Corporate emissions,Gross emissions,Scope 3,Employee commute,134200.0
7,2022,Corporate emissions,Gross emissions,Scope 3,Upstream fuel,10600.0
8,2022,Corporate emissions,Gross emissions,Scope 3,Work from home (market-based),7500.0
9,2022,Corporate emissions,Gross emissions,Scope 3,Transmission and distribution loss (market-based),0.0
10,2022,Corporate emissions,Gross emissions,Scope 3,Third-party cloud (market-based),0.0
12,2022,Product life cycle emissions,Gross emissions,Scope 3,Manufacturing (purchased goods and services),13400000.0
13,2022,Product life cycle emissions,Gross emissions,Scope 3,Product transportation (upstream and downstream),1900000.0
14,2022,Product life cycle emissions,Gross emissions,Scope 3,Product use (use of sold products),4900000.0
15,2022,Product life cycle emissions,Gross emissions,Scope 3,End-of-life processing,80000.0
17,2021,Corporate emissions,Gross emissions,Scope 1,"Natural gas, diesel, propane",40070.0
18,2021,Corporate emissions,Gross emissions,Scope 1,Fleet vehicles,12090.0
19,2021,Corporate emissions,Gross emissions,Scope 1,Other (R&D processes & refrigerant leaks),3040.0
20,2021,Corporate emissions,Gross emissions,Scope 2 (market-based),Electricity,0.0
21,2021,Corporate emissions,Gross emissions,Scope 2 (market-based),"Steam, heating, and cooling",2780.0
22,2021,Corporate emissions,Gross emissions,Scope 3,Business travel,22850.0
23,2021,Corporate emissions,Gross emissions,Scope 3,Employee commute,85570.0
24,2021,Corporate emissions,Gross emissions,Scope 3,Upstream fuel,0.0
25,2021,Corporate emissions,Gross emissions,Scope 3,Work from home (market-based),0.0
26,2021,Corporate emissions,Gross emissions,Scope 3,Transmission and distribution loss (market-based),
27,2021,Corporate emissions,Gross emissions,Scope 3,Third-party cloud (market-based),0.0
29,2021,Product life cycle emissions,Gross emissions,Scope 3,Manufacturing (purchased goods and services),16200000.0
30,2021,Product life cycle emissions,Gross emissions,Scope 3,Product transportation (upstream and downstream),1750000.0
31,2021,Product life cycle emissions,Gross emissions,Scope 3,Product use (use of sold products),4990000.0
32,2021,Product life cycle emissions,Gross emissions,Scope 3,End-of-life processing,80000.0
34,2020,Corporate emissions,Gross emissions,Scope 1,"Natural gas, diesel, propane",39340.0
35,2020,Corporate emissions,Gross emissions,Scope 1,Fleet vehicles,4270.0
36,2020,Corporate emissions,Gross emissions,Scope 1,Other (R&D processes & refrigerant leaks),3830.0
37,2020,Corporate emissions,Gross emissions,Scope 2 (market-based),Electricity,0.0
38,2020,Corporate emissions,Gross emissions,Scope 2 (market-based),"Steam, heating, and cooling",0.0
39,2020,Corporate emissions,Gross emissions,Scope 3,Business travel,153000.0
40,2020,Corporate emissions,Gross emissions,Scope 3,Employee commute,134000.0
41,2020,Corporate emissions,Gross emissions,Scope 3,Upstream fuel,0.0
42,2020,Corporate emissions,Gross emissions,Scope 3,Work from home (market-based),0.0
43,2020,Corporate emissions,Gross emissions,Scope 3,Transmission and distribution loss (market-based),
44,2020,Corporate emissions,Gross emissions,Scope 3,Third-party cloud (market-based),0.0
46,2020,Product life cycle emissions,Gross emissions,Scope 3,Manufacturing (purchased goods and services),16100000.0
47,2020,Product life cycle emissions,Gross emissions,Scope 3,Product transportation (upstream and downstream),1800000.0
48,2020,Product life cycle emissions,Gross emissions,Scope 3,Product use (use of sold products),4300000.0
49,2020,Product life cycle emissions,Gross emissions,Scope 3,End-of-life processing,60000.0
51,2019,Corporate emissions,Gross emissions,Scope 1,"Natural gas, diesel, propane",40910.0
52,2019,Corporate emissions,Gross emissions,Scope 1,Fleet vehicles,6950.0
53,2019,Corporate emissions,Gross emissions,Scope 1,Other (R&D processes & refrigerant leaks),4870.0
54,2019,Corporate emissions,Gross emissions,Scope 2 (market-based),Electricity,0.0
55,2019,Corporate emissions,Gross emissions,Scope 2 (market-based),"Steam, heating, and cooling",0.0
56,2019,Corporate emissions,Gross emissions,Scope 3,Business travel,326000.0
57,2019,Corporate emissions,Gross emissions,Scope 3,Employee commute,195000.0
58,2019,Corporate emissions,Gross emissions,Scope 3,Upstream fuel,0.0
59,2019,Corporate emissions,Gross emissions,Scope 3,Work from home (market-based),0.0
60,2019,Corporate emissions,Gross emissions,Scope 3,Transmission and distribution loss (market-based),
61,2019,Corporate emissions,Gross emissions,Scope 3,Third-party cloud (market-based),0.0
63,2019,Product life cycle emissions,Gross emissions,Scope 3,Manufacturing (purchased goods and services),18900000.0
64,2019,Product life cycle emissions,Gross emissions,Scope 3,Product transportation (upstream and downstream),1400000.0
65,2019,Product life cycle emissions,Gross emissions,Scope 3,Product use (use of sold products),4100000.0
66,2019,Product life cycle emissions,Gross emissions,Scope 3,End-of-life processing,60000.0
68,2018,Corporate emissions,Gross emissions,Scope 1,"Natural gas, diesel, propane",42840.0
69,2018,Corporate emissions,Gross emissions,Scope 1,Fleet vehicles,11110.0
70,2018,Corporate emissions,Gross emissions,Scope 1,Other (R&D processes & refrigerant leaks),3490.0
71,2018,Corporate emissions,Gross emissions,Scope 2 (market-based),Electricity,8730.0
72,2018,Corporate emissions,Gross emissions,Scope 2 (market-based),"Steam, heating, and cooling",0.0
73,2018,Corporate emissions,Gross emissions,Scope 3,Business travel,337000.0
74,2018,Corporate emissions,Gross emissions,Scope 3,Employee commute,183000.0
75,2018,Corporate emissions,Gross emissions,Scope 3,Upstream fuel,0.0
76,2018,Corporate emissions,Gross emissions,Scope 3,Work from home (market-based),0.0
77,2018,Corporate emissions,Gross emissions,Scope 3,Transmission and distribution loss (market-based),
78,2018,Corporate emissions,Gross emissions,Scope 3,Third-party cloud (market-based),0.0
80,2018,Product life cycle emissions,Gross emissions,Scope 3,Manufacturing (purchased goods and services),18500000.0
81,2018,Product life cycle emissions,Gross emissions,Scope 3,Product transportation (upstream and downstream),1300000.0
82,2018,Product life cycle emissions,Gross emissions,Scope 3,Product use (use of sold products),4700000.0
83,2018,Product life cycle emissions,Gross emissions,Scope 3,End-of-life processing,50000.0
85,2017,Corporate emissions,Gross emissions,Scope 1,"Natural gas, diesel, propane",36210.0
86,2017,Corporate emissions,Gross emissions,Scope 1,Fleet vehicles,8300.0
87,2017,Corporate emissions,Gross emissions,Scope 1,Other (R&D processes & refrigerant leaks),2540.0
88,2017,Corporate emissions,Gross emissions,Scope 2 (market-based),Electricity,36250.0
89,2017,Corporate emissions,Gross emissions,Scope 2 (market-based),"Steam, heating, and cooling",
90,2017,Corporate emissions,Gross emissions,Scope 3,Business travel,121000.0
91,2017,Corporate emissions,Gross emissions,Scope 3,Employee commute,172000.0
92,2017,Corporate emissions,Gross emissions,Scope 3,Upstream fuel,
93,2017,Corporate emissions,Gross emissions,Scope 3,Work from home (market-based),
94,2017,Corporate emissions,Gross emissions,Scope 3,Transmission and distribution loss (market-based),
95,2017,Corporate emissions,Gross emissions,Scope 3,Third-party cloud (market-based),
97,2017,Product life cycle emissions,Gross emissions,Scope 3,Manufacturing (purchased goods and services),21100000.0
98,2017,Product life cycle emissions,Gross emissions,Scope 3,Product transportation (upstream and downstream),1200000.0
99,2017,Product life cycle emissions,Gross emissions,Scope 3,Product use (use of sold products),4700000.0
100,2017,Product life cycle emissions,Gross emissions,Scope 3,End-of-life processing,40000.0
102,2016,Corporate emissions,Gross emissions,Scope 1,"Natural gas, diesel, propane",27000.0
103,2016,Corporate emissions,Gross emissions,Scope 1,Fleet vehicles,7370.0
104,2016,Corporate emissions,Gross emissions,Scope 1,Other (R&D processes & refrigerant leaks),
105,2016,Corporate emissions,Gross emissions,Scope 2 (market-based),Electricity,41000.0
106,2016,Corporate emissions,Gross emissions,Scope 2 (market-based),"Steam, heating, and cooling",
107,2016,Corporate emissions,Gross emissions,Scope 3,Business travel,118000.0
108,2016,Corporate emissions,Gross emissions,Scope 3,Employee commute,186000.0
109,2016,Corporate emissions,Gross emissions,Scope 3,Upstream fuel,
110,2016,Corporate emissions,Gross emissions,Scope 3,Work from home (market-based),
111,2016,Corporate emissions,Gross emissions,Scope 3,Transmission and distribution loss (market-based),
112,2016,Corporate emissions,Gross emissions,Scope 3,Third-party cloud (market-based),
114,2016,Product life cycle emissions,Gross emissions,Scope 3,Manufacturing (purchased goods and services),22800000.0
115,2016,Product life cycle emissions,Gross emissions,Scope 3,Product transportation (upstream and downstream),1200000.0
116,2016,Product life cycle emissions,Gross emissions,Scope 3,Product use (use of sold products),4900000.0
117,2016,Product life cycle emissions,Gross emissions,Scope 3,End-of-life processing,300000.0
119,2015,Corporate emissions,Gross emissions,Scope 1,"Natural gas, diesel, propane",19360.0
120,2015,Corporate emissions,Gross emissions,Scope 1,Fleet vehicles,8740.0
121,2015,Corporate emissions,Gross emissions,Scope 1,Other (R&D processes & refrigerant leaks),
122,2015,Corporate emissions,Gross emissions,Scope 2 (market-based),Electricity,42460.0
123,2015,Corporate emissions,Gross emissions,Scope 2 (market-based),"Steam, heating, and cooling",
124,2015,Corporate emissions,Gross emissions,Scope 3,Business travel,139940.0
125,2015,Corporate emissions,Gross emissions,Scope 3,Employee commute,172970.0
126,2015,Corporate emissions,Gross emissions,Scope 3,Upstream fuel,
127,2015,Corporate emissions,Gross emissions,Scope 3,Work from home (market-based),
128,2015,Corporate emissions,Gross emissions,Scope 3,Transmission and distribution loss (market-based),
129,2015,Corporate emissions,Gross emissions,Scope 3,Third-party cloud (market-based),
131,2015,Product life cycle emissions,Gross emissions,Scope 3,Manufacturing (purchased goods and services),29600000.0
132,2015,Product life cycle emissions,Gross emissions,Scope 3,Product transportation (upstream and downstream),1300000.0
133,2015,Product life cycle emissions,Gross emissions,Scope 3,Product use (use of sold products),6600000.0
134,2015,Product life cycle emissions,Gross emissions,Scope 3,End-of-life processing,500000.0
